,SalePrice,MSSubClass,Neighborhood,YearBuilt,YearRemodAdd,MasVnrArea,BsmtUnfSF,LowQualFinSF,TotRmsAbvGrd,FireplaceQu,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Total_basement_fin,House_Qual
0,208499.00000000012,60,4,2003,2003,196.0,150,0,8,3,2003.0,548,0,61,0,0,0,0,706,12
1,181498.99999999988,20,16,1976,1976,0.0,284,0,6,5,1976.0,460,298,0,0,0,0,0,978,14
2,223499.0,60,4,2001,2002,162.0,434,0,6,5,2001.0,608,0,42,0,0,0,0,486,12
3,139998.9999999999,70,5,1915,1970,0.0,540,0,7,2,1998.0,642,0,35,272,0,0,0,216,12
4,249998.99999999983,60,13,2000,2000,350.0,490,0,9,5,2000.0,836,192,84,0,0,0,0,655,13
5,142998.9999999999,50,10,1993,1995,0.0,64,0,5,3,1993.0,480,40,30,0,320,0,0,732,10
6,306998.9999999998,20,20,2004,2005,186.0,317,0,7,2,2004.0,636,255,57,0,0,0,0,1369,13
7,199999.00000000006,60,12,1973,1973,240.0,216,0,7,5,1973.0,484,235,204,228,0,0,0,891,13
8,129898.99999999996,50,15,1931,1950,0.0,952,0,8,5,1931.0,468,90,0,205,0,0,0,0,12
9,117998.99999999991,190,2,1939,1950,0.0,140,0,5,5,1939.0,205,0,4,0,0,0,0,851,11
10,129498.99999999991,20,18,1965,1965,0.0,134,0,5,3,1965.0,384,0,0,0,0,0,0,906,10
11,344999.00000000006,60,14,2005,2006,286.0,177,0,11,2,2005.0,736,147,21,0,0,0,0,998,14
12,143999.00000000012,20,18,1962,1962,0.0,175,0,4,3,1962.0,352,140,0,0,0,176,0,737,11
13,279499.0000000002,20,4,2006,2007,306.0,1494,0,7,2,2006.0,840,160,33,0,0,0,0,0,12
14,156998.9999999999,20,11,1960,1960,212.0,520,0,5,1,1960.0,352,0,213,176,0,0,0,733,11
15,131998.99999999994,45,2,1929,2001,0.0,832,0,5,3,1991.0,576,48,112,0,0,0,0,0,15
16,148999.00000000012,20,11,1970,1970,180.0,426,0,5,5,1970.0,480,0,0,0,0,0,0,578,13
17,89998.99999999997,90,18,1967,1967,0.0,0,0,6,3,1967.0,516,0,0,0,0,0,0,0,9
18,158998.99999999997,20,19,2004,2004,0.0,468,0,6,3,2004.0,576,0,102,0,0,0,0,646,10
19,138998.99999999994,20,11,1958,1965,0.0,525,0,6,3,1958.0,294,0,0,0,0,0,0,504,11
20,325299.0000000001,60,14,2005,2006,380.0,1158,0,9,2,2005.0,853,240,154,0,0,0,0,0,13
21,139399.00000000012,45,8,1930,1950,0.0,637,0,6,2,1930.0,280,0,0,205,0,0,0,0,14
22,229999.0000000002,20,4,2002,2002,281.0,1777,0,7,2,2002.0,534,171,159,0,0,0,0,0,13
23,129898.99999999996,120,9,1976,1976,0.0,200,0,6,5,1976.0,572,100,110,0,0,0,0,840,12
24,153999.00000000003,20,18,1968,2001,0.0,204,0,6,5,1968.0,270,406,90,0,0,0,0,856,13
25,256298.99999999983,20,14,2007,2007,640.0,1566,0,7,2,2007.0,890,0,56,0,0,0,0,0,13
26,134799.00000000006,20,11,1951,2000,0.0,180,0,5,3,2005.0,576,222,32,0,0,0,0,720,12
27,305998.9999999999,20,14,2007,2008,200.0,486,0,7,2,2008.0,772,0,50,0,0,0,0,1218,13
28,207498.99999999985,20,11,1957,1997,0.0,207,0,6,2,1957.0,319,288,258,0,0,0,0,1277,11
29,68499.00000000004,30,2,1927,1950,0.0,520,0,4,3,1920.0,240,49,0,87,0,0,0,0,10
30,39998.99999999997,70,8,1920,1950,0.0,649,0,6,3,1920.0,250,0,54,172,0,0,0,0,8
31,149348.99999999988,20,18,1966,2006,0.0,1228,0,6,3,1966.0,271,0,65,0,0,0,0,0,11
32,179899.0,20,4,2007,2007,0.0,1234,0,7,3,2007.0,484,0,30,0,0,0,0,0,13
33,165498.99999999994,20,11,1959,1959,0.0,380,0,6,2,1959.0,447,0,38,0,0,0,0,1018,10
34,277498.9999999999,120,14,2005,2005,246.0,408,0,6,2,2005.0,556,203,47,0,0,0,0,1153,14
35,308998.99999999977,60,14,2004,2005,132.0,1117,0,9,2,2004.0,691,113,32,0,0,0,0,0,13
36,144998.99999999994,20,4,1994,1995,0.0,1097,0,6,3,1995.0,672,392,64,0,0,0,0,0,10
37,152998.99999999994,20,11,1954,1990,650.0,84,0,5,5,1954.0,498,0,0,0,0,0,0,1213,11
38,108998.99999999994,20,11,1953,2007,0.0,326,0,5,3,1953.0,246,0,52,0,0,0,0,731,12
